"sample_percent" "time" "accuracy" "accuracy_5_folds"
10 0.00400209426879883 0.848686868686869 0.854545454545454
50 0.00300097465515137 NULL 0.814814814814815
70 0.00300097465515137 NULL 0.888888888888889
100 0.00300121307373047 NULL 0.851851851851852
NA NA NULL 0.833333333333333
