index,Year,S1,S2,S3,S4,Average_bleaching,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean,rate_of_SST_change,reef_longitude,reef_latitude,Month,eta,salt,temp,wspeed_u,wspeed_v,mean_wspeed,u,v,mean_cur
8508,2015.0,0.0,4.0,3.0,5.0,3.0,297.64,296.45,299.51,294.01,305.39,2.44,6.0,0.3,0.8800000000000001,0.0,-3.13,3.45,6.0,5.27,24.0,6.0,2.3,2.98,17.76,2.25,-6.07,2.44,-8.51,2.86,-3.0,0.0,1.5,7.0,1.0,0.0,1.2,7.33,0.45,0.018762626,145.558,-16.37716667,8.0,0.00535864421475,35.401197124999996,24.438005225,-3.62216732,4.1622105525,5.9161735625,-0.030859523300000004,-0.04639017799775,0.16781260765
8509,2014.0,1.0,0.0,1.0,1.0,0.75,298.38,295.3,299.07,292.2,305.77,2.88,4.0,-0.4,0.98,0.0,-3.14,3.3399999999999994,6.0,5.32,29.0,7.0,1.64,3.32,19.92,2.78,-7.19,2.88,-10.28,3.27,-3.4100000000000006,0.0,1.46,6.0,1.0,0.0,1.49,10.49,0.62,0.026363636,146.8702778,-19.14833333,8.0,-0.03346890011363637,35.576440636363635,23.307121636363636,-3.916829247727273,2.9940018431818185,5.8383319977272725,-0.08287030814772728,0.03238230695909091,0.190380106
8510,2015.0,1.0,1.0,0.0,1.0,0.75,301.69,299.47,299.07,292.2,305.77,2.88,6.0,-0.14,0.98,0.0,-3.14,3.3399999999999994,17.0,5.32,29.0,7.0,2.77,3.32,19.92,2.78,-3.02,2.88,-10.28,3.27,-3.4100000000000006,2.0,1.46,6.0,1.0,0.0,1.49,10.49,0.62,0.026363636,146.8702778,-19.14833333,10.0,-0.06965923609090909,35.68829322727273,25.488629863636366,-5.323592370454545,1.1595463584545453,6.630725663636364,-0.07037811184090909,0.006230755377363636,0.19067168413636362
8511,2014.0,1.0,1.0,1.0,1.0,1.0,298.38,295.3,299.07,292.2,305.77,2.88,4.0,-0.4,0.98,0.0,-3.14,3.3399999999999994,6.0,5.32,29.0,7.0,1.64,3.32,19.92,2.78,-7.19,2.88,-10.28,3.27,-3.4100000000000006,0.0,1.46,6.0,1.0,0.0,1.49,10.49,0.62,0.026363636,146.8702778,-19.14833333,8.0,-0.03346890011363637,35.576440636363635,23.307121636363636,-3.916829247727273,2.9940018431818185,5.8383319977272725,-0.08287030814772728,0.03238230695909091,0.190380106
8512,2014.0,1.0,0.0,5.0,0.0,1.5,294.89,295.08,299.07,292.2,305.77,2.88,6.0,-0.81,0.98,0.0,-3.14,3.3399999999999994,6.0,5.32,29.0,7.0,1.99,3.32,19.92,2.78,-7.41,2.88,-10.28,3.27,-3.4100000000000006,0.0,1.46,6.0,1.0,0.0,1.49,10.49,0.62,0.026363636,146.8813611,-19.12269444,6.0,0.1330598913409091,35.23857927272727,24.294166590909093,-2.8254256886363636,4.539882675,6.164633720454546,-0.07477125602204546,0.049420258731818184,0.17296727170454546
8513,2015.0,11.0,31.0,11.0,0.0,13.25,296.52,295.99,299.07,292.2,305.77,2.88,5.0,1.11,0.98,0.0,-3.14,3.3399999999999994,14.0,5.32,29.0,7.0,4.0,3.32,19.92,2.78,-6.5,2.88,-10.28,3.27,-3.4100000000000006,2.0,1.46,6.0,1.0,0.0,1.49,10.49,0.62,0.026363636,146.8813611,-19.12269444,7.0,-0.030745442499999998,35.8188165,23.102974113636364,-3.5822816340909087,3.580093718181818,5.9357637500000004,-0.04871654791363636,0.015838600062727273,0.16423590393181817
8514,2015.0,40.0,10.0,20.0,27.0,24.25,296.52,295.99,299.07,292.2,305.77,2.88,5.0,1.11,0.9800000000000001,0.0,-3.14,3.34,14.0,5.32,29.0,7.0,4.0,3.32,19.92,2.78,-6.5,2.88,-10.28,3.27,-3.41,2.0,1.4600000000000002,6.0,1.0,0.0,1.49,10.49,0.62,0.026363636,146.8658333,-19.15416667,7.0,-0.030001366361702125,35.82749742553191,23.111512723404253,-3.4872712297872344,3.530112276595745,5.824552259574468,-0.04648704018723404,0.01640715448425532,0.1605401975106383
8515,2014.0,0.0,2.0,2.0,2.0,1.5,295.34,298.0,299.09,292.57,306.11,2.9200000000000004,7.0,-0.16,1.02,0.0,-3.44,3.72,7.0,5.73,32.0,8.0,2.94,3.68,19.04,3.14,-4.47,2.9200000000000004,-9.89,3.63,-3.37,0.0,2.17,11.0,2.0,0.0,1.87,15.84,0.71,0.026363636,146.8469444,-19.16916667,5.0,0.07897999395744681,34.905461829787235,26.060212829787236,-4.170564944680851,3.631675487234043,6.418416987234043,-0.08701032603191489,0.05522341135106383,0.18494408476595744
8516,2015.0,1.0,4.0,3.0,1.0,2.25,301.69,299.68,299.09,292.57,306.11,2.9200000000000004,6.0,-0.09,1.02,0.0,-3.44,3.72,13.0,5.73,32.0,8.0,1.2,3.68,19.04,3.14,-2.79,2.9200000000000004,-9.89,3.63,-3.37,1.0,2.17,11.0,2.0,0.0,1.87,15.84,0.71,0.026363636,146.8469444,-19.16916667,10.0,-0.06832133595744681,35.70475168085106,25.538637042553194,-5.251547476595745,1.1538812334468085,6.562249742553192,-0.06724771412765958,0.008516424034127659,0.18687463089361703
8517,2014.0,2.0,1.0,1.0,1.0,1.25,294.83,295.35,299.09,292.57,306.11,2.9200000000000004,6.0,-0.37,1.02,0.0,-3.44,3.72,8.0,5.73,32.0,8.0,4.02,3.68,19.04,3.14,-7.12,2.9200000000000004,-9.89,3.63,-3.37,0.0,2.17,11.0,2.0,0.0,1.87,15.84,0.71,0.026363636,146.8469444,-19.16916667,6.0,0.13384904061702127,35.239718574468085,24.283424425531916,-2.7682735468085102,4.491601402127659,6.0776890574468085,-0.07126224759510638,0.04931194885531914,0.1695640174680851
